"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","125.2","","","","1"
"2015","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","126.6","","","","1"
"2016","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","128.4","","","","1"
"2017","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","130.4","","","","1"
"2018","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","133.4","","","","1"
"2019","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","136.0","","","","1"
"2020","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","137.0","","","","1"
"2021","Canada","2016A000011124","All-items","2002=100","17","units","0","v41693271","2.2","141.6","","","","1"
"1990","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","82.7","","","","1"
"1991","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","81.5","","","","1"
"1992","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","78.6","","","","1"
"1993","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","77.4","","","","1"
"1994","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","76.5","","","","1"
"1995","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","80.1","","","","1"
"1996","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","83.6","","","","1"
"1997","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","85.2","","","","1"
"1998","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","77.9","","","","1"
"1999","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","84.9","","","","1"
"2000","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","103.5","","","","1"
"2001","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","100.8","","","","1"
"2002","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","100.0","","","","1"
"2003","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","106.4","","","","1"
"2004","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","117.6","","","","1"
"2005","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","132.6","","","","1"
"2006","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","139.8","","","","1"
"2007","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","146.1","","","","1"
"2008","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","164.7","","","","1"
"2009","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","135.8","","","","1"
"2010","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","148.2","","","","1"
"2011","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","177.8","","","","1"
"2012","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","182.3","","","","1"
"2013","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","183.4","","","","1"
"2014","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","183.8","","","","1"
"2015","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","153.4","","","","1"
"2016","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","144.2","","","","1"
"2017","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","161.2","","","","1"
"2018","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","181.5","","","","1"
"2019","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","170.5","","","","1"
"2020","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","146.7","","","","1"
"2021","Canada","2016A000011124","Gasoline","2002=100","17","units","0","v41693434","2.184","192.4","","","","1"
"1990","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","73.4","","","","1"
"1991","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","77.0","","","","1"
"1992","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","77.2","","","","1"
"1993","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","78.1","","","","1"
"1994","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","78.6","","","","1"
"1995","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","79.6","","","","1"
"1996","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","81.9","","","","1"
"1997","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","83.9","","","","1"
"1998","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","80.5","","","","1"
"1999","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","85.0","","","","1"
"2000","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","98.8","","","","1"
"2001","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","102.0","","","","1"
"2002","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","100.0","","","","1"
"2003","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","107.9","","","","1"
"2004","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","115.2","","","","1"
"2005","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","126.3","","","","1"
"2006","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","132.8","","","","1"
"2007","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","135.9","","","","1"
"2008","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","149.3","","","","1"
"2009","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","129.2","","","","1"
"2010","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","137.8","","","","1"
"2011","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","154.7","","","","1"
"2012","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","157.3","","","","1"
"2013","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","159.6","","","","1"
"2014","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","165.3","","","","1"
"2015","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","149.5","","","","1"
"2016","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","145.0","","","","1"
"2017","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","152.7","","","","1"
"2018","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","162.9","","","","1"
"2019","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","159.3","","","","1"
"2020","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","147.2","","","","1"
"2021","Canada","2016A000011124","Energy","2002=100","17","units","0","v41693537","2.288","175.0","","","","1"
"1990","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","81.6","","","","1"
"1991","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","85.7","","","","1"
"1992","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","86.4","","","","1"
"1993","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","87.8","","","","1"
"1994","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","86.8","","","","1"
"1995","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","88.4","","","","1"
"1996","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","89.9","","","","1"
"1997","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","91.2","","","","1"
"1998","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","91.4","","","","1"
"1999","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","93.1","","","","1"
"2000","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","96.0","","","","1"
"2001","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","98.4","","","","1"
"2002","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","100.0","","","","1"
"2003","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","101.9","","","","1"
"2004","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","103.4","","","","1"
"2005","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","105.8","","","","1"
"2006","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","107.1","","","","1"
"2007","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","108.0","","","","1"
"2008","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","109.4","","","","1"
"2009","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","107.6","","","","1"
"2010","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","109.2","","","","1"
"2011","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","112.9","","","","1"
"2012","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","114.0","","","","1"
"2013","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","114.6","","","","1"
"2014","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","116.5","","","","1"
"2015","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","116.8","","","","1"
"2016","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","117.9","","","","1"
"2017","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","118.9","","","","1"
"2018","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","121.1","","","","1"
"2019","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","122.7","","","","1"
"2020","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","122.5","","","","1"
"2021","Canada","2016A000011124","Goods","2002=100","17","units","0","v41693520","2.274","128.3","","","","1"
"1990","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","74.9","","","","1"
"1991","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","79.6","","","","1"
"1992","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","81.4","","","","1"
"1993","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","83.1","","","","1"
"1994","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","84.5","","","","1"
"1995","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","86.7","","","","1"
"1996","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","88.0","","","","1"
"1997","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","89.5","","","","1"
"1998","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","91.1","","","","1"
"1999","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","92.6","","","","1"
"2000","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","94.8","","","","1"
"2001","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","97.1","","","","1"
"2002","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","100.0","","","","1"
"2003","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","103.6","","","","1"
"2004","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","105.9","","","","1"
"2005","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","108.2","","","","1"
"2006","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","111.1","","","","1"
"2007","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","114.8","","","","1"
"2008","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","118.7","","","","1"
"2009","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","121.2","","","","1"
"2010","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","123.7","","","","1"
"2011","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","126.7","","","","1"
"2012","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","129.3","","","","1"
"2013","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","131.0","","","","1"
"2014","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","133.7","","","","1"
"2015","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","136.4","","","","1"
"2016","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","138.9","","","","1"
"2017","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","142.0","","","","1"
"2018","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","145.8","","","","1"
"2019","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","149.2","","","","1"
"2020","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","151.3","","","","1"
"2021","Canada","2016A000011124","Services","2002=100","17","units","0","v41693528","2.282","154.8","","","","1"
"1990","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","78.9","","","","1"
"1991","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","82.2","","","","1"
"1992","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","83.0","","","","1"
"1993","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","84.3","","","","1"
"1994","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","84.4","","","","1"
"1995","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","86.5","","","","1"
"1996","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","87.9","","","","1"
"1997","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","89.5","","","","1"
"1998","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","90.4","","","","1"
"1999","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","92.2","","","","1"
"2000","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","95.0","","","","1"
"2001","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","98.0","","","","1"
"2002","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","100.0","","","","1"
"2003","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","103.0","","","","1"
"2004","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","104.7","","","","1"
"2005","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","106.7","","","","1"
"2006","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","108.4","","","","1"
"2007","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","110.5","","","","1"
"2008","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","113.1","","","","1"
"2009","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","113.6","","","","1"
"2010","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","116.5","","","","1"
"2011","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","120.0","","","","1"
"2012","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","121.8","","","","1"
"2013","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","123.3","","","","1"
"2014","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","126.4","","","","1"
"2015","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","128.3","","","","1"
"2016","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","131.0","","","","1"
"2017","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","133.7","","","","1"
"2018","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","137.1","","","","1"
"2019","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","139.9","","","","1"
"2020","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","140.3","","","","1"
"2021","Toronto, Ontario","2011S0503535","All-items","2002=100","17","units","0","v41695186","16.2","144.3","","","","1"


